ID,品名,英文名,官方建議售價,酒精濃度,官方簡述,色澤,風味,口感,飲用建議,官方頁面
54,噶瑪蘭調酒師精選 臻醇,Kavalan Blender's Select Signature,,,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,褐金琥珀,濃郁的熱帶水果香氣，伴隨酸爽的莓果與溫暖的香草味，彷彿一口咬下新鮮多汁的果實，酸甜滋味在口中迸發；中韻再添一層櫻桃及果乾，展現出果香的飽滿濃甜。尾端穿插辛辣的肉桂香料以及蜂蜜甜感，層層疊加的香甜，將味蕾的享受推向極致。,果香表現突出，宛如酒液在口中熱情起舞，香甜迅速蔓延喉間，而後在齒頰間留下的醇香與淡淡的肉桂香氣，與各種香甜交織成絕妙的層次，令人陶醉其中。,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=54
55,噶瑪蘭調酒師精選,Kavalan Blender's Select,,,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,明亮淡雅金黃色,青蘋果、鳳梨、香蕉氣息，佐以乾淨香草芬芳，伴隨著蜂蜜、無花果及怡人花香，整體展現平衡雅致風味。,口感飽滿、圓潤柔順，自然的甘甜中點綴優雅的木質醇香。,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=55
56,噶瑪蘭十五周年紀念原酒：ex-Bourbon波本桶,Kavalan 15th Anniversary ex-Bourbon Cask,"NTD 12,000",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,瀲灩琥珀色,鮮明蜂蜜與糖漿繚繞，夾帶顯著的烤杏仁及核果風味，接續的香草和奶油氣息堆疊豐富層次，些許麥芽餘韻與烤麵包香氣迎上鼻腔，尾端玫瑰精油芬芳令人流連忘返。,宛如輕嘗絲滑迷人的杏仁豆腐，濃烈熱帶水果芳香於口中恣意綻放，綿密的香草霜淇淋增富口感，感受如精緻奶油蛋糕之甜蜜饗宴。,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=56
57,噶瑪蘭十五周年紀念原酒：OLOROSO雪莉桶,Kavalan 15th Anniversary Oloroso Sherry Cask,"NTD 12,000",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,沉穩可口的黑葡萄乾色,層次豐富且細緻和諧，深沉雪莉果乾、奶梅、陳皮、黑棗等各式蜜餞，伴隨一絲柑橘清香及焦糖甜感，糖漬櫻桃、葡萄乾、杏仁堅果封存馥郁氣息；尾韻則以淡雅香草帶出噶瑪蘭經典熱帶水果風格。,黑巧克力點綴Espresso迷人香氣，焦香黑糖隨之而來，與渾厚濃郁的木質調相互交織；細緻的單寧結合肉桂、丁香等辛香料，營造極富平衡的溫潤感受。,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=57
58,金車45周年紀念款 噶瑪蘭PALO CORTADO雪莉桶,King Car Group 45th Anniversary：Kavalan Palo Cortado Sherry Single Cask,"NTD 25,000",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,焦糖暖紅棕,層次豐富且細緻，可可粉、柑橘芬芳香氣撲鼻而來，隨後捎來熟成果乾、糕點及牛軋糖的甜香氣息；質地飽滿圓潤，各式堅果韻味交疊，香草水果蛋糕、荳蔻辛香逐一浮現，尾韻純淨而優雅,彷彿柑橘磅蛋糕的完美滋味，濃郁果乾層層堆疊、包覆味蕾；葡萄乾融合香草及烤餅乾香氣，焦糖太妃糖點綴核桃堅果碎，醇厚多層次的尾韻讓人意猶未盡。,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=58
59,噶瑪蘭「蘭」,Kavalan LÁN,,,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,優雅剔透的深琥珀色,以迷人的蘭花香氣為主角，揉合了玫瑰、茉莉、牡丹、橙花的清新氣息，交織點綴奶油、香草的溫醇，以及巧克力、焦糖、哈密瓜、水果軟糖的甜味，彷彿身處在百花綻放的花園饗宴中，餐桌上擺滿了水果與甜點；尾韻以堅果、肉桂作結，正如同遠處森林傳來的木質馨香，輕爽中帶有一絲甜蜜與穩重，感受多元風味的驚喜變化。,清新的花果香氣充盈舌尖至鼻腔，與滑順的奶油、巧克力完美交融共舞，最終以堅果、肉桂的木質香氣落地，酒體輕盈滑順又不失記憶點。,適合與甜點、巧克力、水果一起享用，搭配煙燻肉品亦有絕佳風味展現。,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=59
60,噶瑪蘭調酒師精選 臻醇〈甘甜濃郁〉,Kavalan Blender's Select Signature - Sweet & Mellow,,,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,透亮紅瑪瑙,融合楓糖漿與太妃糖的甜美，濃縮的蜜餞果乾香氣交錯其中，伴隨牛軋糖與綿密乳脂的柔滑口感，最後帶有一絲淡淡煙草的餘韻，令人回味無窮。,以甜美的麝香和蜂蜜揭開序幕，中韻展現絲滑濃郁的奶油戚風蛋糕風味，尾韻帶出香濃巧克力、煙燻烏梅香氣，最終以清爽的草本作結。,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=60
64,噶瑪蘭經典獨奏Palo Cortado雪莉桶 威士忌原酒,Kavalan Solist Palo Cortado Sherry Single Cask Strength,"NTD 12,000",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,焦糖暖紅棕,層次豐富且細緻，可可粉、柑橘芬芳香氣撲鼻而來，隨後捎來熟成果乾及牛軋糖的甜香氣息；各式堅果韻味交疊，香草水果蛋糕、荳蔻辛香逐一浮現。,彷彿柑橘磅蛋糕的完美滋味，濃郁果乾層層堆疊、融合香草及烤餅乾香氣，焦糖太妃糖點綴核桃堅果碎，讓人意猶未盡。,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=64
65,噶瑪蘭15年,Kavalan 15 Years Old,"NTD 4,500",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,焦糖金棕色,焦糖蘋果慕斯、生巧克力、核桃肉桂捲和奶油爆米花的香氣，絲滑蔓延展開，其中摻了些許陳皮梅的蜜餞香氣，最終轉為太妃糖和黑棗果乾的濃郁香甜作結，帶來飽滿的深層風味。,輕盈明亮的佛手柑、檸檬、香橙和葡萄柚氣味相互交織，隨後轉為蔓越莓乾、葡萄乾與龍眼乾的甜香，搭配黑巧克力義式冰淇淋和焦糖核桃咖啡慕斯的濃郁風味，並以木質肉桂的辛香收尾。,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=65
66,噶瑪蘭泥煤探尋者 Oloroso雪莉桶泥煤威士忌原酒,Kavalan Peatist Oloroso Sherry Cask Single Cask Strength,"NTD 3,500",,噶瑪蘭泥煤探尋者 Oloroso雪莉桶泥煤威士忌原酒,深邃黑葡萄乾色,煙燻泥煤香氣交織熱帶水果，香甜鳳梨、芒果伴隨奶油糖、碳燻烏梅及深色果乾。清新草本氣息揉合其中，爾後捎來葡萄乾、無花果等熟成果韻，為此更添豐富層次。,柑橘與奶油糖甜感於口中恣意綻放，鳳梨與芒果乾香層層堆疊；鹹甜黑棗、烏梅蜜餞更增添泥煤風味的層次。細膩木質香氣與辛香肉桂、丁香交織，勾勒出微妙單寧口感。尾韻浮現巧克力、咖啡與堅果的豐郁氣息。,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=66
67,噶瑪蘭泥煤探尋者 波本桶泥煤威士忌原酒,Kavalan Peatist ex-Bourbon Cask Single Cask Strength,"NTD 3,500",,噶瑪蘭泥煤探尋者 波本桶泥煤威士忌原酒,清亮金黃色,初韻散發輕柔泥煤氣息，經典果香層層遞進，迷人芒果、香蕉與龍眼芬芳而至。椰奶般甜蜜香氣撲鼻而來，香草、蜂蜜蘊含其中，令人陶醉。,瀰漫著柔美而成熟的調性。綿密香草奶油蛋糕，佐以香甜熱帶水果基調；溫潤橡木質地與清甜椰香達到絕佳平衡，香草卡士達的滑潤瀰漫其中，賦予煙燻泥煤獨特風情，尾韻悠長且令人回味。,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=67
70,噶瑪蘭 台灣之韻系列 海洋,Kavalan Rhythm of Taiwan Collection --Ocean--,"NTD 4,300",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,明亮琥珀色,濃郁雪莉香氣綻放，帶有奶油太妃糖和乳脂軟糖的香甜調性。整體柔順平衡，與品牌標誌性的熱帶水果香氣和諧交融。,乳脂軟糖的柔和香甜，襯托出舌尖上的自然甜味。多層次的豐盈果香，夾帶著一絲木質調性，口感溫潤易飲、值得細細品味。,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=70
71,噶瑪蘭山川首席波特風味桶,Kavalan Concertmaster Port Cask Finish,"NTD 1,700",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,溫暖的棕紅色,橙花、甘蔗與鳳梨交融蜂蜜香氣，肉桂辛香點綴蜜餞與櫻桃，圓潤飽滿、餘韻悠長。,如和諧交響，層次豐富，清新莓果揭開序幕，交織蜂蜜烤堅果、棉花糖、鳳梨與無花果的熱帶果香，尾韻則綻放牛奶巧克力、太妃糖與葡萄乾的甜美。,適合與甜點一起搭配飲用,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=71
72,噶瑪蘭層豐雪莉3桶,Kavalan Triple Sherry Cask,"NTD 2,500",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,迷人棗紅褐色,整體散發出成熟的莓果果乾香氣，從中點綴些微葡萄與柑橘清香，交織出如巧克力布朗尼及太妃糖般的甜美，並透露著肉桂、丁香等辛香，融合恰到好處的橡木及迷迭香香氣，令人愉悅的純淨風味。,滑順的雪莉果乾香氣與奔放的辛香於口中繚繞，溫潤的蜜餞、焦糖及蜂蜜的香甜，如流暢的佛朗明哥舞般挑逗著味蕾；多層次口感完美交融，平衡細緻，造就無法忘懷的舌尖饗宴。,適合與甜點、黑巧克力、堅果一起享用，搭配清爽海鮮沙拉、煙燻肉品或微辣食物亦有絕佳風味展現,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=72
73,噶瑪蘭經典獨奏Vinho葡萄酒桶威士忌原酒,Kavalan Solist Vinho Barrique Single Cask Strength,"NTD 3,700",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,深秋金黃色,綻放香瓜果香與焦糖香甜，結合葡萄酒特質之豐富融合體。呈現細緻平衡風味，完美呈現水果與橡木絕妙。,甘甜口感，杏仁、黑巧克力在舌尖繚繞。尾韻潔淨，整體風味醇厚濃郁、豐富口感令人回味無窮。,適合純飲,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=73
74,噶瑪蘭經典獨奏橡木新桶威士忌原酒,Kavalan Solist Virgin Oak  Single Cask Strength,"NTD 4,200",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,甜美的黑櫻桃,最初釋放煙燻烏梅、紫葡萄、奶油香草和濃郁的蜂蠟的香氣，逐漸浮現鮮花、杏桃與水蜜桃等深邃迷人的氣息。,酒體相當飽滿、厚實，橡木的辛香點綴其中，蘊含香甜的蜂蜜、秋梨和栗子風味。,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=74
